cohortDefinitionId,timeId,covariateId,mean,averageValue,sd,startDayTemporalCharacterization,endDayTemporalCharacterization
2887,1,3028257701,0.02574750830564784,0.02574750830564784,0.16047695955827052,-730,-1
2887,1,3030687701,0.001868770764119601,0.001868770764119601,0.04323376918470257,-730,-1
2887,1,3036277701,0.2541528239202658,0.2541528239202658,0.5041880566976916,-730,-1
2887,1,3038553701,0.25290697674418605,0.25290697674418605,0.5029507835278888,-730,-1
2887,1,3051187701,0.024501661129568104,0.024501661129568104,0.1565463148202134,-730,-1
2887,1,4008265701,0.40303156146179403,0.40303156146179403,0.6349135747621459,-730,-1
2887,1,4017361701,0.10153654485049833,0.10153654485049833,0.3186810757169464,-730,-1
2887,1,4032789701,0.39223421926910296,0.39223421926910296,0.6263510702884679,-730,-1
2887,1,4097430701,0.19165282392026578,0.19165282392026578,0.43782715646912984,-730,-1
2887,1,4097596701,0.10382059800664452,0.10382059800664452,0.3222454894017687,-730,-1
2887,1,4101713701,0.37707641196013286,0.37707641196013286,0.6141292278969473,-730,-1
2887,1,4119650701,0.1495016611295681,0.1495016611295681,0.38669458728212247,-730,-1
2887,1,4151358701,0.316860465116279,0.316860465116279,0.5629620399300695,-730,-1
2887,1,4184637701,0.11607142857142858,0.11607142857142858,0.3407279410052544,-730,-1
2887,1,4208414701,0.11503322259136213,0.11503322259136213,0.3392006901928153,-730,-1
2887,1,4234284701,-0.0010382059800664453,4.15282392026578e-4,0.02038059424450479,-730,-1
2887,1,4245152701,0.25872093023255816,0.25872093023255816,0.5086989791182456,-730,-1
2887,1,4263457701,0.3122923588039867,0.3122923588039867,0.5588892587649852,-730,-1
2887,1,4267147701,0.3440614617940199,0.3440614617940199,0.5866284199793332,-730,-1
2887,1,21492176701,0.011420265780730895,0.011420265780730895,0.10687673787301144,-730,-1
2887,1,44788275701,0.08409468438538206,0.08409468438538206,0.2900209404615918,-730,-1
2887,1,1002224701,0.003114617940199335,0.003114617940199335,0.05581455601537616,-730,-1
2887,1,4246879701,0.1378737541528239,0.1378737541528239,0.37135210033610294,-730,-1
2887,1,44788835701,0.3716777408637874,0.3716777408637874,0.6097170790411172,-730,-1
2887,1,3008400701,0.002491694352159468,0.002491694352159468,0.04992205655374036,-730,-1
2887,1,3010713701,0.059385382059800665,0.059385382059800665,0.24371646007513992,-730,-1
2887,1,4016239701,0.3178986710963455,0.3178986710963455,0.5638835695040448,-730,-1
2887,1,4148615701,0.14057308970099666,0.14057308970099666,0.3749697033967804,-730,-1
2887,1,4172647701,0.09987541528239204,0.09987541528239204,0.31606352768561197,-730,-1
2887,1,4192368701,0.061461794019933555,0.061461794019933555,0.24794063003137057,-730,-1
2887,1,4194332701,0.17068106312292358,0.17068106312292358,0.4131785371277255,-730,-1
2887,1,4230636701,0.08264119601328904,0.08264119601328904,0.28750366211592715,-730,-1
2887,1,4281085701,0.14763289036544852,0.14763289036544852,0.38427014590698416,-730,-1
2887,1,4290193701,0.17504152823920266,0.17504152823920266,0.418423080232769,-730,-1
2887,1,4324133701,0.003945182724252491,0.003945182724252491,0.06281721027482712,-730,-1
2887,1,3013512701,0.13704318936877077,0.13704318936877077,0.37023188028655335,-730,-1
2887,1,4160443701,0.004360465116279069,0.004360465116279069,0.0660406732890496,-730,-1
2887,1,4273104701,0.03426079734219269,0.03426079734219269,0.18511594014327667,-730,-1
2887,2,4016239701,0.03862126245847176,0.03862126245847176,0.19654333319550726,0,30
2887,2,4030871701,0.04630398671096345,0.04630398671096345,0.21520595095429937,0,30
2887,2,4032789701,0.02159468438538206,0.02159468438538206,0.14696655514597656,0,30
2887,2,4148615701,0.018480066445182724,0.018480066445182724,0.13595552091872476,0,30
2887,2,4151358701,0.04152823920265781,0.04152823920265781,0.20380594244504788,0,30
2887,2,4153000701,0.05045681063122923,0.05045681063122923,0.2246492544918316,0,30
2887,2,4182871701,0.024086378737541526,0.024086378737541526,0.15521398152882432,0,30
2887,2,4194332701,0.022425249169435217,0.022425249169435217,0.14976616966122105,0,30
2887,2,4198885701,0.023671096345514953,0.023671096345514953,0.1538701122384431,0,30
2887,2,4216098701,0.022009966777408636,0.022009966777408636,0.14837296570883293,0,30
2887,2,4254663701,0.018064784053156143,0.018064784053156143,0.1344192510264905,0,30
2887,2,4298431701,0.04630398671096345,0.04630398671096345,0.21520595095429937,0,30
2887,1,4032173701,0.054817275747508304,0.054817275747508304,0.2341552008224603,-730,-1
2887,1,4097664701,0.08077242524916944,0.08077242524916944,0.2842344049057979,-730,-1
2887,1,4148594701,0.052948504983388704,0.052948504983388704,0.23012930989834948,-730,-1
2887,1,4017899701,0.07267441860465117,0.07267441860465117,0.26960991971336995,-730,-1
2887,1,3035159701,-0.0010382059800664453,0.001038205980066445,0.03222454894017687,-730,-1
2887,1,4215717701,0.03779069767441861,0.03779069767441861,0.19441847798005696,-730,-1
2887,1,4216722701,0.11607142857142858,0.11607142857142858,0.3407279410052544,-730,-1
2887,1,4261340701,0.005398671096345514,0.005398671096345514,0.07348327757298828,-730,-1
2887,2,3036941701,0.01764950166112957,0.01764950166112957,0.1328652190182349,0,30
2887,2,4097430701,0.024916943521594685,0.024916943521594685,0.15786740418955555,0,30
2887,1,4141751701,0.03675249169435216,0.03675249169435216,0.19172929621130946,-730,-1
2887,1,4176561701,0.10921926910299003,0.10921926910299003,0.3305176962322203,-730,-1
2887,2,4192555701,-0.0010382059800664453,4.15282392026578e-4,0.02038059424450479,0,30
2887,1,4197113701,-0.0010382059800664453,0.001038205980066445,0.03222454894017687,-730,-1
2887,1,4211845701,0.003945182724252491,0.003945182724252491,0.06281721027482712,-730,-1
2887,2,4215028701,0.011004983388704318,0.011004983388704318,0.10491553019747485,0,30
2887,1,4235029701,0.018895348837209305,0.018895348837209305,0.13747462416766576,-730,-1
2887,1,4243005701,0.02387873754152824,0.02387873754152824,0.15454350763183372,-730,-1
