"cohortDefinitionId","inclusionRuleMask","personCount","modeId"
2887,0,4816,0
2887,0,4816,1
2934,0,4816,0
2934,0,4816,1
2899,0,17682,0
2899,0,17682,1
2935,0,17682,0
2935,0,17682,1
