"cohortDefinitionId","inclusionRuleMask","personCount","modeId"
2897,0,150187,0
2897,0,150187,1
2895,0,37975,0
2895,0,37975,1
2891,0,42325,0
2891,0,42325,1
2887,0,124221,0
2887,0,124221,1
2934,0,117743,0
2934,1,6478,0
2934,0,117743,1
2934,1,6478,1
2885,0,18364,0
2885,0,18364,1
2899,0,117990,0
2899,0,117990,1
2935,0,116980,0
2935,1,1010,0
2935,0,116980,1
2935,1,1010,1
