"cohortDefinitionId","inclusionRuleMask","personCount","modeId"
2887,0,2440,0
2887,0,2440,1
2934,0,2440,0
2934,0,2440,1
2899,0,60963,0
2899,0,60963,1
2935,0,60963,0
2935,0,60963,1
