cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2899,1,14048,3010910815702,4.785740318906599,0.450505968423036,1.9,7.71,4.19,4.4,4.66,4.89,5.01,0.23043485392779225,-730,-1
2899,1,13767,3015232840702,205.04392169681108,129.80784542834806,3.59,8764.47,144.02,167,192,216,233,0.22582550071354757,-730,-1
2899,2,2273,3015232840702,193.88140783106024,44.57301518421443,4.92,393,114,128,140.54,149.81,153,0.03728491051949543,0,30
2899,1,12892,3016662840702,0.9955414210363004,3.604619450646573,0.06,149,0.6,0.69,0.79,0.9,0.96,0.2114725325197251,-730,-1
2899,2,1602,3000637840702,149.8785580524344,109.70982904798048,33,1918,42.98,49,57,63,66.5,0.026278234338861277,0,30
2899,2,1910,3022174848702,6.871130890052356,2.6258629609760327,0.13,25.3,3.4,4,4.5,4.9,5.1,0.031330479143086794,0,30
2899,2,3894,3024731583702,87.65390344119155,5.369709731588291,55,113,74.9,78,81.1,83,83.5,0.06387480931056543,0,30
2899,2,1189,3003792645702,27.305609756097564,15.466314506476266,0.34,247,12,14,16,17,18,0.019503633351377066,0,30
2899,2,1883,3025315529702,71.98906001062136,26.43892807923315,3,190,12,15.6,22.9,39,48.7,0.030887587553105982,0,30
2899,2,2748,3008108554702,41.69121179039303,4.356786657186971,0.41,56,33.2,35.4,37,38.1,38.5,0.04507652182471335,0,30
2899,2,504,3028193840702,0.5684722222222226,0.3623298904659561,0.1,3,0.17,0.2,0.22,0.28,0.3,0.00826730967964175,0,30
2899,1,12079,3019210840702,96.08555178408803,34.832635889710055,4.3,1000,70,78,87,96,104,0.1981365746436363,-730,-1
2899,2,1299,3036277582702,164.99538106235565,21.994395775312615,61,200,83,97,110,130,142,0.02130800649574332,0,30
2899,1,6326,3036277582702,160.06634524185898,26.318289722121893,54,200,110,156,165,172,176,0.10376785919328117,-730,-1
2899,2,1526,44783982531702,26.176690694626455,6.285278495232183,12.05,61.72,14.4,15.48,16.74,18.49,19.4,0.025031576530026408,0,30
2899,2,107,3025313636702,45.412616822429904,35.78580627600122,33.2,410,34,36.5,38,38.6,38.8,0.0017551629677017206,0,30
2899,1,9005,3028437840702,130.6290405330371,70.26972562819061,1.64,3822.39,79,99,120,141.31,157,0.14771254695471023,-730,-1
2899,2,1456,3028437840702,125.78232142857146,40.104988140909896,1.86,656.37,53,65,75,83,86.49,0.023883339074520612,0,30
2899,1,11592,3028465645702,32.92940476190473,45.85883641356197,0.13,1647,11,14,19.1,28,37,0.19014812263176026,-730,-1
