"cohortDefinitionId","inclusionRuleMask","personCount","modeId"
2887,0,23592,0
2887,0,23592,1
2934,0,23592,0
2934,0,23592,1
2899,0,125241,0
2899,0,125241,1
2935,0,125241,0
2935,0,125241,1
